u_p u_o u_r i_mA adc_uo adc_ur dac_val r
0.000000 1.132258 1.132258 9.435484 351 351 140 120
-0.003226 1.138710 1.141935 9.516129 353 354 141 120
0.000000 1.148387 1.148387 9.569893 356 356 142 120
0.000000 1.154839 1.154839 9.623656 358 358 143 120
0.000000 1.164516 1.164516 9.704301 361 361 144 120
0.000000 1.170968 1.170968 9.758064 363 363 145 120
0.000000 1.180645 1.180645 9.838710 366 366 146 120
0.000000 1.190323 1.190323 9.919355 369 369 147 120
0.000000 1.196774 1.196774 9.973119 371 371 148 120
0.000000 1.206452 1.206452 10.053764 374 374 149 120
0.000000 1.212903 1.212903 10.107528 376 376 150 120
0.000000 1.219355 1.219355 10.161291 378 378 151 120
0.003226 1.229032 1.225806 10.215055 381 380 152 120
0.000000 1.235484 1.235484 10.295699 383 383 153 120
0.000000 1.245161 1.245161 10.376345 386 386 154 120
0.000000 1.254839 1.254839 10.456989 389 389 155 120
0.000000 1.261290 1.261290 10.510753 391 391 156 120
0.000000 1.270968 1.270968 10.591398 394 394 157 120
0.000000 1.277419 1.277419 10.645162 396 396 158 120
0.000000 1.287097 1.287097 10.725806 399 399 159 120
0.000000 1.293548 1.293548 10.779570 401 401 160 120
0.000000 1.300000 1.300000 10.833333 403 403 161 120
0.000000 1.309677 1.309677 10.913979 406 406 162 120
0.000000 1.319355 1.319355 10.994624 409 409 163 120
0.000000 1.329032 1.329032 11.075270 412 412 164 120
0.000000 1.335484 1.335484 11.129033 414 414 165 120
0.000000 1.341936 1.341936 11.182796 416 416 166 120
-0.003226 1.348387 1.351613 11.263441 418 419 167 120
0.000000 1.358065 1.358065 11.317204 421 421 168 120
0.000000 1.367742 1.367742 11.397850 424 424 169 120
0.000000 1.374194 1.374194 11.451613 426 426 170 120
0.000000 1.383871 1.383871 11.532258 429 429 171 120
0.000000 1.393548 1.393548 11.612904 432 432 172 120
0.000000 1.400000 1.400000 11.666667 434 434 173 120
0.000000 1.406452 1.406452 11.720430 436 436 174 120
0.000000 1.416129 1.416129 11.801075 439 439 175 120
0.000000 1.422581 1.422581 11.854838 441 441 176 120
0.000000 1.432258 1.432258 11.935484 444 444 177 120
-0.003226 1.438710 1.441936 12.016129 446 447 178 120
0.000000 1.448387 1.448387 12.069893 449 449 179 120
0.000000 1.458065 1.458065 12.150538 452 452 180 120
0.000000 1.464516 1.464516 12.204302 454 454 181 120
0.000000 1.470968 1.470968 12.258065 456 456 182 120
0.003226 1.480645 1.477419 12.311829 459 458 183 120
0.000000 1.487097 1.487097 12.392473 461 461 184 120
0.000000 1.493548 1.493548 12.446237 463 463 185 120
0.000000 1.503226 1.503226 12.526882 466 466 186 120
0.000000 1.512903 1.512903 12.607527 469 469 187 120
0.000000 1.522581 1.522581 12.688172 472 472 188 120
0.000000 1.529032 1.529032 12.741936 474 474 189 120
0.000000 1.535484 1.535484 12.795699 476 476 190 120
0.000000 1.545161 1.545161 12.876344 479 479 191 120
0.000000 1.551613 1.551613 12.930107 481 481 192 120
0.000000 1.561290 1.561290 13.010753 484 484 193 120
0.000000 1.567742 1.567742 13.064517 486 486 194 120
0.000000 1.577419 1.577419 13.145162 489 489 195 120
0.003226 1.587097 1.583871 13.198925 492 491 196 120
0.000000 1.593548 1.593548 13.279571 494 494 197 120
0.000000 1.600000 1.600000 13.333334 496 496 198 120
0.003226 1.609677 1.606452 13.387097 499 498 199 120
0.003226 1.616129 1.612903 13.440861 501 500 200 120
0.003226 1.625806 1.622581 13.521505 504 503 201 120
0.003226 1.635484 1.632258 13.602151 507 506 202 120
0.003226 1.641935 1.638710 13.655914 509 508 203 120
0.003226 1.651613 1.648387 13.736559 512 511 204 120
0.003226 1.658064 1.654839 13.790322 514 513 205 120
0.003226 1.664516 1.661290 13.844086 516 515 206 120
0.006452 1.674194 1.667742 13.897849 519 517 207 120
0.006452 1.680645 1.674194 13.951612 521 519 208 120
0.009678 1.690323 1.680645 14.005376 524 521 209 120
0.012903 1.700000 1.687097 14.059139 527 523 210 120
0.009677 1.706452 1.696774 14.139786 529 526 211 120
0.012903 1.716129 1.703226 14.193549 532 528 212 120
0.016129 1.722581 1.706452 14.220430 534 529 213 120
0.016129 1.729032 1.712903 14.274194 536 531 214 120
