u_p u_o u_r i_mA adc_uo adc_ur dac_val r
-0.003226 0.896774 0.900000 7.500000 278 279 111 120
-0.003226 0.903226 0.906452 7.553764 280 281 112 120
-0.003226 0.912903 0.916129 7.634409 283 284 113 120
-0.003226 0.922581 0.925806 7.715054 286 287 114 120
-0.003226 0.929032 0.932258 7.768817 288 289 115 120
0.000000 0.938710 0.938710 7.822581 291 291 116 120
-0.003226 0.945161 0.948387 7.903226 293 294 117 120
0.000000 0.954839 0.954839 7.956989 296 296 118 120
0.000000 0.961290 0.961290 8.010753 298 298 119 120
-0.003226 0.967742 0.970968 8.091398 300 301 120 120
0.000000 0.977419 0.977419 8.145162 303 303 121 120
-0.003226 0.983871 0.987097 8.225807 305 306 122 120
-0.003226 0.993548 0.996774 8.306452 308 309 123 120
0.000000 1.003226 1.003226 8.360215 311 311 124 120
-0.003226 1.009677 1.012903 8.440861 313 314 125 120
-0.003226 1.016129 1.019355 8.494624 315 316 126 120
0.000000 1.025806 1.025806 8.548388 318 318 127 120
-0.003226 1.032258 1.035484 8.629032 320 321 128 120
0.000000 1.041935 1.041935 8.682796 323 323 129 120
0.000000 1.051613 1.051613 8.763441 326 326 130 120
0.000000 1.058064 1.058064 8.817204 328 328 131 120
0.000000 1.067742 1.067742 8.897850 331 331 132 120
-0.003226 1.074194 1.077419 8.978496 333 334 133 120
0.000000 1.083871 1.083871 9.032259 336 336 134 120
0.000000 1.090323 1.090323 9.086022 338 338 135 120
-0.003226 1.096774 1.100000 9.166667 340 341 136 120
0.000000 1.106452 1.106452 9.220430 343 343 137 120
0.000000 1.116129 1.116129 9.301076 346 346 138 120
-0.003226 1.122581 1.125806 9.381721 348 349 139 120
-0.003226 1.132258 1.135484 9.462366 351 352 140 120
-0.003226 1.138710 1.141935 9.516129 353 354 141 120
0.000000 1.148387 1.148387 9.569893 356 356 142 120
-0.003226 1.154839 1.158064 9.650537 358 359 143 120
-0.003226 1.161290 1.164516 9.704301 360 361 144 120
-0.003226 1.170968 1.174194 9.784946 363 364 145 120
0.000000 1.180645 1.180645 9.838710 366 366 146 120
-0.003226 1.187097 1.190323 9.919355 368 369 147 120
-0.003226 1.196774 1.200000 10.000001 371 372 148 120
0.000000 1.206452 1.206452 10.053764 374 374 149 120
-0.003226 1.212903 1.216129 10.134409 376 377 150 120
